ID,¿Cuál es su rango de edad actual?,Nivel de estudios de los padres,¿Entre qué rango se encontró su promedio ponderado de postulación a la Universidad?,Sus estudios de enseñanza media fueron realizados en...,Sus estudios de pregrado los realizó en ...,Carrera,Año de egreso,Año de titulación,Ciudad en la que reside actualmente,¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad de Chile],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad Católica],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad de Santiago],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad de Concepción],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad de Talca],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Inacap],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad Católica de Valparaíso],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad Adolfo Ibáñez],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Duoc UC],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad de Valparaíso],¿Por qué cree que la UTFSM se asemeja a las siguientes Instituciones? [Universidad del Bío Bío],En la actualidad ¿Se encuentra trabajando?,Si no está trabajando ¿Cuál es el motivo?,Si se encuentra en un programa de continuidad de estudios ¿Qué motivó su continuación de estudios?,Tamaño de la empresa donde trabaja,¿Cuál es su cargo actual?,Tiempo en la empresa,Situación contractual,Rango de sueldo líquido,¿En qué Sector trabaja?,Considera que su trabajo es acorde a su especialidad,¿Cuánto tiempo se demoró en encontrar trabajo?,Considera que su remuneración actual es acorde a su preparación profesional,¿Cómo evalúa el nivel de cumplimiento de las expectativas que tenía al egresar  respecto de su situación actual?,¿Cursa estudios de postgrado?,¿Qué tan de acuerdo estaría que su hijo estudie en la USM?,Tiene pensado hacer cursos de postgrado (si ya hizo uno ¿hacer otro?),Si está interesado le gustaría hacerlo en la UTFSM,¿Algunos de sus padres estudió en la USM?,¿Tiene algún otro pariente que sea exalumno de la USM?,¿Qué tan satisfecho se encuentra con el proceso formativo de su carrera?,¿Qué tan satisfecho se encuentra con la infraestructura de tu Sede o Campus?,¿Qué tan satisfecho se encuentra con la experiencia universitaria vivida?,La UTFSM es una Universidad de prestigio [La UTFSM es una Universidad de prestigio],La UTFSM es una Universidad de prestigio [La UTFSM es una Universidad sólida en términos de la formación que entrega],La UTFSM es una Universidad de prestigio [De la UTFSM egresan profesionales con una base técnica],La UTFSM es una Universidad de prestigio [La UTFSM se caracteriza por la exigencia en sus planes de estudio],La UTFSM es una Universidad de prestigio [La UTFSM se caracteriza por ser una Universidad de punta en carreras tecnológicas],La UTFSM es una Universidad de prestigio [La UTFSM se caracteriza por su calidad docente],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Capacidad de Adaptación],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Capacidad de Compromiso],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Empatía],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Productividad],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Autocuidado],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Tolerancia a la frustración],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Liderazgo],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Comunicación efectiva],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Capacidad de delegar],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Capacidad de negociación],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Planificación],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Capacidad de gestionar],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Capacidad de Trabajar en equipo],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Actualización del conocimiento (Busca constantemente tener los conocimientos más actuales para desarrollarse adecuadamente en su que hacer)],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Relaciones públicas],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Pensamiento Analítico],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Manejo de tecnologías],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Dominio de inglés escrito],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Dominio de inglés hablado],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Dinamismo y energía],Marque su grado de acuerdo o desacuerdo sobre las competencias que usted ha tenido que desarrollar en el mundo empresarial [Orientación al cliente externo e interno]
258,30 - 34 años,Estudios Superiores Completos,601 - 700,Colegio / Liceo Particular - Científico Humanista,Casa Central,Ingeniería Civil,2005,2007,Valparaíso,Calidad educación,Calidad educación,Perfil Técnico / Tecnológico,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Jefe de Área / Sección / Departamento / Local,Entre uno y 3 años,Contrato a plazo indefinido,$2.000.001 - $2.500.000,Minería,Si,Menos de 3 meses,Si,Muy cumplidas,No,De acuerdo,No,No,No,No,5,6,6,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,Indiferente,Indiferente,De Acuerdo,De Acuerdo,De Acuerdo,Indiferente,Indiferente,Indiferente,De Acuerdo,De Acuerdo,De Acuerdo,Indiferente,De Acuerdo,De Acuerdo,Muy de Acuerdo,Indiferente,Indiferente,De Acuerdo,Indiferente,De Acuerdo,De Acuerdo,Indiferente,De Acuerdo
259,40 o más,Estudios Superiores Completos,Ingreso especial,Colegio / Liceo Municipal - Científico Humanista,Sede Viña del Mar,Ingeniería de Ejecución en Gestión Industrial,2007,2007,Valparaíso,Buen nivel de alumnos,Buen nivel de alumnos,No opino,No opino,No opino,No opino,Buen nivel de alumnos,Buen nivel de alumnos,No opino,No opino,No opino,Si,,Para acceder a una mejor remuneración en mi actual trabajo,,Supervisor,Entre 6 meses y un año,Contrato a plazo indefinido,$1.250.001 - $1.500.000,Otro,Si,Entre 3 y 6 meses,No,Poco cumplidas,Si,Indiferente,Si,Si,No,No,6,6,6,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Indiferente,De Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo
260,30 - 34 años,Enseñanza Media incompleta,601 - 700,Colegio / Liceo Particular subvencionado - Científico Humanista,Sede Viña del Mar,Técnico Universitario en Prevención de Riesgos,2006,2007,Valparaíso,Calidad educación,Calidad educación,Calidad educación,Calidad educación,Calidad educación,Perfil Técnico / Tecnológico,Calidad educación,Calidad educación,Calidad educación,Calidad educación,Calidad educación,Si,,Para certificar conocimientos que ya he adquirido en la práctica,Gran Empresa (Más de 200 trabajadores),Prevencionista de Riesgos,Entre uno y 3 años,Contrato a plazo indefinido,$750.001 - $1.000.000,Construcción,Si,Más de un año,Si,Poco cumplidas,Si,Indiferente,Si,No,No,No,4,5,6,Totalmente de acuerdo,De acuerdo,Desacuerdo,Totalmente de acuerdo,De acuerdo,Desacuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo
261,30 - 34 años,Enseñanza Media completa,601 - 700,Colegio / Liceo Particular subvencionado - Científico Humanista,Sede Viña del Mar,Ingeniería de Ejecución en Proyectos de Ingenieria,2007,2007,Santiago,Imagen Universidad,Imagen Universidad,Imagen Universidad,Imagen Universidad,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Ingeniero,Entre uno y 3 años,Contrato a plazo indefinido,$750.001 - $1.000.000,Minería,Si,Menos de 3 meses,Si,Cumplidas,No,Muy de acuerdo,No,Si,No,Si,7,6,7,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo
262,40 o más,Enseñanza Media completa,Ingreso especial,Colegio / Liceo Municipal - Técnico Nivel Medio,Sede Viña del Mar,Ingeniería de Ejecución en Proyectos de Ingenieria,2006,2007,Antofagasta,Calidad educación,Calidad educación,Calidad educación,No opino,No opino,No opino,Perfil Técnico / Tecnológico,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Programador,Menos de 6 meses,Contrato a plazo indefinido,$1.250.001 - $1.500.000,Minería,Si,Entre 3 y 6 meses,Si,Cumplidas,No,De acuerdo,Si,Si,No,No,6,6,6,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Indiferente,De Acuerdo,Muy de Acuerdo,Indiferente,Indiferente,De Acuerdo,Muy de Acuerdo
263,25 - 29 años,Técnico Nivel Medio,701 - 750,Colegio / Liceo Municipal - Científico Humanista,Casa Central,Ingeniería Civil Mecánica,2010,2011,Santiago,Buen nivel de alumnos,No opino,No opino,Buen nivel de alumnos,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Ingeniero,Entre 6 meses y un año,Contrato a plazo indefinido,$1.000.001 - $1.250.000,Otro,Si,Menos de 3 meses,No,Poco cumplidas,No,Indiferente,Si,No,No,No,4,5,5,De acuerdo,De acuerdo,De acuerdo,Desacuerdo,Indiferente,Indiferente,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Indiferente,De Acuerdo,Indiferente,De Acuerdo,De Acuerdo,Indiferente,De Acuerdo,De Acuerdo,Indiferente,De Acuerdo,De Acuerdo,De Acuerdo,Indiferente,Indiferente,Indiferente
264,30 - 34 años,Estudios Superiores Completos,601 - 700,Colegio / Liceo Particular - Científico Humanista,Casa Central,Ingeniería Civil Industrial,2005,2007,Santiago,Imagen Universidad,Imagen Universidad,No opino,No opino,No opino,No opino,No opino,Imagen Universidad,No opino,No opino,No opino,Si,,,Mediana Empresa (de 50 a 199 trabajadores),Ingeniero,Menos de 6 meses,Contrato a plazo indefinido,$1.500.001 - $2.000.000,Minería,Si,Menos de 3 meses,Si,Muy cumplidas,Si,Muy de acuerdo,No,,No,Si,7,7,7,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Indiferente,Desacuerdo,Indiferente,Indiferente,Indiferente,Indiferente,De Acuerdo,De Acuerdo,De Acuerdo,Indiferente,Desacuerdo,Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy de Acuerdo,Muy de Acuerdo,Indiferente,Indiferente
265,25 - 29 años,Estudios Superiores Completos,701 - 750,Colegio / Liceo Particular - Científico Humanista,Campus Santiago,Ingeniería Civil Informática,2010,2011,Santiago,Calidad educación,No opino,Perfil Técnico / Tecnológico,No opino,No opino,No opino,Imagen Universidad,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Analista,Entre uno y 3 años,Contrato a plazo indefinido,$1.250.001 - $1.500.000,Retail,Si,Menos de 3 meses,Si,Cumplidas,No,Muy de acuerdo,Si,Si,No,No,6,7,6,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,Indiferente,De Acuerdo,Indiferente,Indiferente,De Acuerdo,Indiferente,Desacuerdo,Indiferente,Desacuerdo,Indiferente,Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Desacuerdo,Desacuerdo
266,25 - 29 años,Estudios Superiores Completos,601 - 700,Colegio / Liceo Particular subvencionado - Científico Humanista,Campus Santiago,Ingeniería Civil Informática,2010,2011,Santiago,Imagen Universidad,No opino,Perfil Técnico / Tecnológico,No opino,No opino,No opino,Buen nivel de alumnos,No opino,No opino,No opino,No opino,Si,,Para acceder a una mejor remuneración en mi actual trabajo,Gran Empresa (Más de 200 trabajadores),Jefe de Área / Sección / Departamento / Local,Entre uno y 3 años,Contrato a plazo indefinido,$1.500.001 - $2.000.000,Agropecuario,Si,Menos de 3 meses,Si,Muy cumplidas,No,Muy de acuerdo,Si,No,No,Si,6,3,2,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Indiferente,Muy de Acuerdo,De Acuerdo,De Acuerdo,Indiferente,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Indiferente,Muy de Acuerdo,Desacuerdo,Desacuerdo,Desacuerdo,Muy de Acuerdo
267,25 - 29 años,Enseñanza Media completa,601 - 700,Colegio / Liceo Particular - Científico Humanista,Campus Santiago,Ingeniería Civil Informática,2010,2011,Santiago,Calidad educación,Calidad educación,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Analista,Más de 5 años,Informal sin contrato,$750.001 - $1.000.000,Retail,No,Menos de 3 meses,Si,Cumplidas,No,Desacuerdo,Si,No,No,Si,6,5,5,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Indiferente,Indiferente,De Acuerdo,Muy de Acuerdo,De Acuerdo,Indiferente,Muy de Acuerdo,Indiferente,De Acuerdo,Indiferente,Indiferente,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Indiferente
268,25 - 29 años,Técnico Universitario,601 - 700,Colegio / Liceo Particular - Científico Humanista,Campus Santiago,Ingeniería Civil Informática,2007,2007,Santiago,Perfil Técnico / Tecnológico,No opino,Perfil Técnico / Tecnológico,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Mediana Empresa (de 50 a 199 trabajadores),Programador,Entre 3 y 5 años,Contrato a plazo indefinido,$500.001 - $750.000,Financiero,Si,Menos de 3 meses,No,Poco cumplidas,No,De acuerdo,Si,Si,No,Si,6,6,6,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Indiferente,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Indiferente,De Acuerdo,De Acuerdo,Indiferente,Indiferente,De Acuerdo,De Acuerdo
269,25 - 29 años,Estudios Superiores Completos,501 - 600,Colegio / Liceo Particular - Científico Humanista,Campus Santiago,Ingeniería Civil Informática,2010,2011,Santiago,No opino,No opino,Imagen Universidad,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Pequeña empresa (de 10 a 49 trabajadores),Ingeniero,Menos de 6 meses,Profesional a honorarios,$1.250.001 - $1.500.000,Otro,Si,Entre 3 y 6 meses,Si,Cumplidas,No,Indiferente,Si,No,No,Si,6,5,3,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Indiferente,Indiferente,Muy en Desacuerdo,Muy en Desacuerdo,Indiferente,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Indiferente,De Acuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Muy de Acuerdo,Muy en Desacuerdo,Indiferente,Muy de Acuerdo,Muy de Acuerdo,Indiferente,De Acuerdo
270,25 - 29 años,Estudios Superiores Completos,701 - 750,Colegio / Liceo Particular - Científico Humanista,Campus Santiago,Ingeniería Civil Informática,2010,2011,Santiago,Perfil Técnico / Tecnológico,No opino,Perfil Técnico / Tecnológico,Perfil Técnico / Tecnológico,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Mediana Empresa (de 50 a 199 trabajadores),Jefe de Área / Sección / Departamento / Local,Entre uno y 3 años,Contrato a plazo indefinido,$1.250.001 - $1.500.000,Transporte y Telecomunicaciones,Si,Menos de 3 meses,Si,Cumplidas,Si,Muy de acuerdo,Si,No,No,No,6,3,6,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,Indiferente,Muy de Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,Indiferente,Muy de Acuerdo,Indiferente,Indiferente,De Acuerdo,Indiferente,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Indiferente,Muy de Acuerdo,Muy de Acuerdo,Desacuerdo,Desacuerdo,Indiferente,Indiferente
271,25 - 29 años,Técnico Universitario,601 - 700,Colegio / Liceo Municipal - Científico Humanista,Campus Santiago,Ingeniería Civil Informática,2011,2011,Santiago,Buen nivel de alumnos,Buen nivel de alumnos,Buen nivel de alumnos,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Ingeniero,Menos de 6 meses,Contrato a plazo indefinido,$1.250.001 - $1.500.000,Otro,Si,Menos de 3 meses,Si,Muy cumplidas,No,Muy de acuerdo,Si,Si,No,No,7,4,6,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Indiferente,Indiferente,Indiferente,Indiferente,Indiferente
272,25 - 29 años,Estudios Superiores incompletos,701 - 750,Colegio / Liceo Municipal - Científico Humanista,Campus Santiago,Ingeniería Civil Industrial,2009,2011,Santiago,Calidad educación,Calidad educación,Perfil Técnico / Tecnológico,Calidad educación,No opino,No opino,Calidad educación,Calidad educación,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Ingeniero,Entre uno y 3 años,Contrato a plazo indefinido,$1.500.001 - $2.000.000,Minería,Si,Menos de 3 meses,Si,Muy cumplidas,No,De acuerdo,Si,No,No,Si,6,2,2,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Indiferente,Indiferente,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo
273,25 - 29 años,Estudios Superiores Completos,601 - 700,Colegio / Liceo Particular - Científico Humanista,Campus Santiago,Ingeniería Civil Industrial,2010,2011,Santiago,Perfil Técnico / Tecnológico,Imagen Universidad,Perfil Técnico / Tecnológico,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Ingeniero,Entre uno y 3 años,Contrato a plazo indefinido,$750.001 - $1.000.000,Minería,No,Menos de 3 meses,No,Muy cumplidas,No,Muy de acuerdo,No,Si,No,No,6,5,7,De acuerdo,De acuerdo,De acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Indiferente,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Indiferente,Muy de Acuerdo,Indiferente,Indiferente,Indiferente,Muy de Acuerdo,Indiferente
274,25 - 29 años,Enseñanza Media completa,601 - 700,Colegio / Liceo Municipal - Científico Humanista,Campus Santiago,Ingeniería Civil Industrial,2010,2011,Santiago,Buen nivel de alumnos,Buen nivel de alumnos,Buen nivel de alumnos,No opino,No opino,No opino,No opino,Imagen Universidad,No opino,No opino,No opino,Si,,,Mediana Empresa (de 50 a 199 trabajadores),Ingeniero,Entre uno y 3 años,Contrato a plazo indefinido,$1.000.001 - $1.250.000,Transporte y Telecomunicaciones,Si,Menos de 3 meses,No,Cumplidas,No,Desacuerdo,Si,Si,No,No,6,5,6,Totalmente de acuerdo,De acuerdo,Totalmente de acuerdo,Indiferente,De acuerdo,Indiferente,Indiferente,Indiferente,Indiferente,De Acuerdo,De Acuerdo,Indiferente,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Indiferente,Indiferente,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo
275,30 - 34 años,Estudios Superiores Completos,Ingreso especial,Colegio / Liceo Particular - Científico Humanista,Campus Santiago,Ingeniería Civil Industrial,2010,2011,Santiago,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Pequeña empresa (de 10 a 49 trabajadores),Analista,Entre uno y 3 años,Contrato a plazo indefinido,$750.001 - $1.000.000,Transporte y Telecomunicaciones,Si,Menos de 3 meses,Si,Cumplidas,No,De acuerdo,Si,Si,No,No,5,5,5,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Indiferente,De acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo
276,25 - 29 años,Estudios Superiores Completos,601 - 700,Colegio / Liceo Particular - Científico Humanista,Campus Santiago,Ingeniería Civil Industrial,2011,2011,Santiago,Buen nivel de alumnos,Calidad educación,Perfil Técnico / Tecnológico,No opino,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Gran Empresa (Más de 200 trabajadores),Planeador,Menos de 6 meses,Contrato a plazo indefinido,$750.001 - $1.000.000,Transporte y Telecomunicaciones,Si,Menos de 3 meses,Si,Muy cumplidas,No,Muy de acuerdo,Si,No,No,No,6,5,5,Totalmente de acuerdo,Totalmente de acuerdo,De acuerdo,De acuerdo,Indiferente,Desacuerdo,Indiferente,Muy en Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Indiferente,Desacuerdo,Muy de Acuerdo,Indiferente,Indiferente,De Acuerdo,Desacuerdo,Desacuerdo,Muy en Desacuerdo,Desacuerdo,Desacuerdo,Muy en Desacuerdo,Muy en Desacuerdo,Indiferente,De Acuerdo,Indiferente,Desacuerdo
277,40 o más,Enseñanza Media completa,701 - 750,Colegio / Liceo Municipal - Técnico Nivel Medio,Casa Central,Ingeniería de Ejecución Electrónica,2004,2011,Santiago,Calidad educación,Calidad educación,Perfil Técnico / Tecnológico,Imagen Universidad,No opino,No opino,No opino,No opino,No opino,No opino,No opino,Si,,,Pequeña empresa (de 10 a 49 trabajadores),Gerente,Entre uno y 3 años,Dueño de la empresa,$1.500.001 - $2.000.000,Transporte y Telecomunicaciones,Si,Menos de 3 meses,No,Cumplidas,No,De acuerdo,Si,Si,No,No,6,6,7,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Indiferente,Indiferente,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo,Muy de Acuerdo,De Acuerdo,Muy de Acuerdo,Muy de Acuerdo
278,25 - 29 años,Estudios Superiores Completos,601 - 700,Colegio / Liceo Particular subvencionado - Científico Humanista,Campus Santiago,Ingeniería Civil Industrial,2010,2011,Santiago,Imagen Universidad,Imagen Universidad,Calidad educación,Calidad educación,No opino,No opino,No opino,Buen nivel de alumnos,No opino,No opino,No opino,Si,,,Mediana Empresa (de 50 a 199 trabajadores),Analista,Entre uno y 3 años,Contrato a plazo indefinido,$750.001 - $1.000.000,Industria manufacturera no metálicas,Si,Menos de 3 meses,Si,Cumplidas,No,De acuerdo,Si,Si,No,Si,5,4,7,Totalmente de acuerdo,De acuerdo,De acuerdo,Indiferente,Indiferente,De acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo
